date,visits
2020-01-01,36
2020-01-02,35
2020-01-03,30
2020-01-04,15
2020-01-05,0
2020-01-06,34
2020-01-07,40
2020-01-08,37
2020-01-09,34
2020-01-10,30
2020-01-11,9
2020-01-12,0
2020-01-13,36
2020-01-14,29
2020-01-15,30
2020-01-16,33
2020-01-17,25
2020-01-18,11
2020-01-19,0
2020-01-20,31
2020-01-21,39
2020-01-22,34
2020-01-23,35
2020-01-24,24
2020-01-25,9
2020-01-26,0
2020-01-27,32
2020-01-28,36
2020-01-29,33
2020-01-30,34
2020-01-31,26
2020-02-01,15
2020-02-02,0
2020-02-03,27
2020-02-04,32
2020-02-05,26
2020-02-06,30
2020-02-07,18
2020-02-08,5
2020-02-09,1
2020-02-10,32
2020-02-11,30
2020-02-12,30
2020-02-13,29
2020-02-14,19
2020-02-15,7
2020-02-16,0
2020-02-17,33
2020-02-18,31
2020-02-19,25
2020-02-20,31
2020-02-21,23
2020-02-22,7
2020-02-23,2
2020-02-24,33
2020-02-25,33
2020-02-26,27
2020-02-27,29
2020-02-28,25
2020-02-29,12
2020-03-01,0
2020-03-02,35
2020-03-03,32
2020-03-04,32
2020-03-05,38
2020-03-06,32
2020-03-07,10
2020-03-08,3
2020-03-09,36
2020-03-10,33
2020-03-11,36
2020-03-12,40
2020-03-13,28
2020-03-14,15
2020-03-15,0
2020-03-16,8
2020-03-17,6
2020-03-18,4
2020-03-19,6
2020-03-20,0
2020-03-21,1
2020-03-22,1
2020-03-23,10
2020-03-24,4
2020-03-25,3
2020-03-26,4
2020-03-27,7
2020-03-28,3
2020-03-29,0
2020-03-30,7
2020-03-31,6
2020-04-01,8
2020-04-02,3
2020-04-03,3
2020-04-04,0
2020-04-05,0
2020-04-06,6
2020-04-07,6
2020-04-08,5
2020-04-09,5
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,3
2020-04-14,5
2020-04-15,7
2020-04-16,11
2020-04-17,5
2020-04-18,2
2020-04-19,0
2020-04-20,0
2020-04-21,5
2020-04-22,5
2020-04-23,13
2020-04-24,4
2020-04-25,2
2020-04-26,0
2020-04-27,2
2020-04-28,9
2020-04-29,8
2020-04-30,8
2020-05-01,2
2020-05-02,6
2020-05-03,0
2020-05-04,7
2020-05-05,12
2020-05-06,2
2020-05-07,4
2020-05-08,5
2020-05-09,0
2020-05-10,0
2020-05-11,6
2020-05-12,2
2020-05-13,7
2020-05-14,3
2020-05-15,9
2020-05-16,0
2020-05-17,0
2020-05-18,8
2020-05-19,2
2020-05-20,6
2020-05-21,9
2020-05-22,0
2020-05-23,2
2020-05-24,1
2020-05-25,8
2020-05-26,2
2020-05-27,1
2020-05-28,7
2020-05-29,5
2020-05-30,2
2020-05-31,1
2020-06-01,37
2020-06-02,40
2020-06-03,40
2020-06-04,37
2020-06-05,37
2020-06-06,13
2020-06-07,0
2020-06-08,41
2020-06-09,36
2020-06-10,41
2020-06-11,43
2020-06-12,29
2020-06-13,15
2020-06-14,1
2020-06-15,42
2020-06-16,45
2020-06-17,38
2020-06-18,37
2020-06-19,29
2020-06-20,9
2020-06-21,0
2020-06-22,40
2020-06-23,40
2020-06-24,42
2020-06-25,39
2020-06-26,36
2020-06-27,11
2020-06-28,8
2020-06-29,41
2020-06-30,37
2020-07-01,36
2020-07-02,41
2020-07-03,31
2020-07-04,14
2020-07-05,1
2020-07-06,39
2020-07-07,37
2020-07-08,35
2020-07-09,38
2020-07-10,34
2020-07-11,12
2020-07-12,0
2020-07-13,40
2020-07-14,40
2020-07-15,37
2020-07-16,40
2020-07-17,32
2020-07-18,8
2020-07-19,1
2020-07-20,41
2020-07-21,42
2020-07-22,42
2020-07-23,35
2020-07-24,29
2020-07-25,13
2020-07-26,2
2020-07-27,41
2020-07-28,51
2020-07-29,41
2020-07-30,43
2020-07-31,34
2020-08-01,15
2020-08-02,0
2020-08-03,47
2020-08-04,42
2020-08-05,44
2020-08-06,43
2020-08-07,36
2020-08-08,20
2020-08-09,0
2020-08-10,47
2020-08-11,40
2020-08-12,43
2020-08-13,48
2020-08-14,36
2020-08-15,10
2020-08-16,0
2020-08-17,47
2020-08-18,42
2020-08-19,45
2020-08-20,45
2020-08-21,34
2020-08-22,20
2020-08-23,2
2020-08-24,39
2020-08-25,45
2020-08-26,43
2020-08-27,47
2020-08-28,33
2020-08-29,13
2020-08-30,2
2020-08-31,47
2020-09-01,32
2020-09-02,35
2020-09-03,34
2020-09-04,27
2020-09-05,16
2020-09-06,1
2020-09-07,32
2020-09-08,39
2020-09-09,42
2020-09-10,39
2020-09-11,24
2020-09-12,9
2020-09-13,4
2020-09-14,34
2020-09-15,37
2020-09-16,38
2020-09-17,33
2020-09-18,28
2020-09-19,1
2020-09-20,0
2020-09-21,35
2020-09-22,32
2020-09-23,41
2020-09-24,32
2020-09-25,27
2020-09-26,11
2020-09-27,4
2020-09-28,32
2020-09-29,39
2020-09-30,36
2020-10-01,33
2020-10-02,30
2020-10-03,11
2020-10-04,0
2020-10-05,36
2020-10-06,35
2020-10-07,36
2020-10-08,38
2020-10-09,33
2020-10-10,7
2020-10-11,6
2020-10-12,30
2020-10-13,35
2020-10-14,38
2020-10-15,37
2020-10-16,27
2020-10-17,10
2020-10-18,0
2020-10-19,34
2020-10-20,38
2020-10-21,37
2020-10-22,34
2020-10-23,31
2020-10-24,12
2020-10-25,2
2020-10-26,38
2020-10-27,33
2020-10-28,34
2020-10-29,38
2020-10-30,31
2020-10-31,11
2020-11-01,0
2020-11-02,40
2020-11-03,34
2020-11-04,38
2020-11-05,35
2020-11-06,28
2020-11-07,14
2020-11-08,2
2020-11-09,38
2020-11-10,40
2020-11-11,36
2020-11-12,38
2020-11-13,28
2020-11-14,12
2020-11-15,0
2020-11-16,36
2020-11-17,38
2020-11-18,34
2020-11-19,42
2020-11-20,26
2020-11-21,7
2020-11-22,3
2020-11-23,38
2020-11-24,38
2020-11-25,38
2020-11-26,36
2020-11-27,26
2020-11-28,11
2020-11-29,0
2020-11-30,39
2020-12-01,43
2020-12-02,41
2020-12-03,42
2020-12-04,36
2020-12-05,11
2020-12-06,0
2020-12-07,44
2020-12-08,44
2020-12-09,42
2020-12-10,42
2020-12-11,35
2020-12-12,9
2020-12-13,0
2020-12-14,41
2020-12-15,43
2020-12-16,44
2020-12-17,48
2020-12-18,37
2020-12-19,13
2020-12-20,0
2020-12-21,40
2020-12-22,43
2020-12-23,42
2020-12-24,44
2020-12-25,32
2020-12-26,15
2020-12-27,5
2020-12-28,43
2020-12-29,45
2020-12-30,45
2020-12-31,42
2021-01-01,30
2021-01-02,11
2021-01-03,0
2021-01-04,34
2021-01-05,36
2021-01-06,38
2021-01-07,41
2021-01-08,32
2021-01-09,17
2021-01-10,0
2021-01-11,39
2021-01-12,37
2021-01-13,43
2021-01-14,34
2021-01-15,26
2021-01-16,9
2021-01-17,0
2021-01-18,35
2021-01-19,34
2021-01-20,37
2021-01-21,37
2021-01-22,35
2021-01-23,14
2021-01-24,0
2021-01-25,34
2021-01-26,38
2021-01-27,32
2021-01-28,42
2021-01-29,33
2021-01-30,9
2021-01-31,0
2021-02-01,35
2021-02-02,30
2021-02-03,35
2021-02-04,26
2021-02-05,23
2021-02-06,9
2021-02-07,0
2021-02-08,29
2021-02-09,33
2021-02-10,28
2021-02-11,30
2021-02-12,25
2021-02-13,11
2021-02-14,2
2021-02-15,27
2021-02-16,26
2021-02-17,35
2021-02-18,32
2021-02-19,22
2021-02-20,14
2021-02-21,0
2021-02-22,34
2021-02-23,31
2021-02-24,37
2021-02-25,36
2021-02-26,24
2021-02-27,12
2021-02-28,2
2021-03-01,40
2021-03-02,33
2021-03-03,38
2021-03-04,40
2021-03-05,24
2021-03-06,7
2021-03-07,0
2021-03-08,36
2021-03-09,38
2021-03-10,41
2021-03-11,37
2021-03-12,34
2021-03-13,7
2021-03-14,0
2021-03-15,36
2021-03-16,38
2021-03-17,36
2021-03-18,30
2021-03-19,29
2021-03-20,7
2021-03-21,2
2021-03-22,37
2021-03-23,34
2021-03-24,35
2021-03-25,33
2021-03-26,29
2021-03-27,14
2021-03-28,0
2021-03-29,38
2021-03-30,35
2021-03-31,34
2021-04-01,36
2021-04-02,26
2021-04-03,9
2021-04-04,0
2021-04-05,42
2021-04-06,37
2021-04-07,34
