site_id,bhcmis_id,organization,site_name,address,city,county,type,status,latitude,longitude,source_date
BPS-H80-000015,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,Tigard School Based Health Center,9000 SW Durham Rd BLDG 7110,Tigard,Washington,Federally Qualified Health Center (FQHC),Active,45.40426252,-122.76878496,2026-09-14
BPS-H80-000092,1010810,BENTON COUNTY,BENTON HEALTH CENTER,530 NW 27th St,Corvallis,Benton,Federally Qualified Health Center (FQHC),Active,44.5732741,-123.28150187,2026-09-14
BPS-H80-000139,101630,VALLEY FAMILY HEALTH CARE INC,Valley Family Health Care - Nyssa Medical Clinic,17 S 3rd St,Nyssa,Malheur,Federally Qualified Health Center (FQHC),Active,43.87608411,-116.99659405,2026-09-14
BPS-H80-000143,100700,WHITE BIRD CLINIC,"Homeless Outreach, Case Management and Advocacy",323 E 12th Ave,Eugene,Lane,Federally Qualified Health Center (FQHC),Active,44.04679934,-123.08777514,2026-09-14
BPS-H80-000266,107660,CENTRAL CITY CONCERN,Old Town Clinic,727 W Burnside St,Portland,Multnomah,Federally Qualified Health Center (FQHC),Active,45.52319355,-122.67811037,2026-09-14
BPS-H80-000304,100760,"NORTHWEST HUMAN SERVICES, INC.",NORTHWEST HUMAN SERVICES-HOAP Homeless Outreach & Advocacy Project,694 Church St NE,Salem,Marion,Federally Qualified Health Center (FQHC),Active,44.94557418,-123.03200396,2026-09-14
BPS-H80-000315,107920,LANE COUNTY OREGON,Lane County Mental Health,2411 Martin Luther King Jr Blvd,Eugene,Lane,Federally Qualified Health Center (FQHC),Active,44.06099753,-123.07303439,2026-09-14
BPS-H80-000425,107920,LANE COUNTY OREGON,LANE COUNTY,125 E 8th Ave,Eugene,Lane,Federally Qualified Health Center (FQHC),Active,44.0515616,-123.09011729,2026-09-14
BPS-H80-000547,101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,VIRGINIA GARCIA MEMORIAL HEALTH CENTER- MCMINNVILLE,115 NE May Ln,Mcminnville,Yamhill,Federally Qualified Health Center (FQHC),Active,45.20127998,-123.16085402,2026-09-14
BPS-H80-000664,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School-Based Health Center at Phoenix Elementary School,215 N Rose St,Phoenix,Jackson,Federally Qualified Health Center (FQHC),Active,42.2728417,-122.82006897,2026-09-14
BPS-H80-000679,100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School-Based Health Center at Oak Grove Elementary School,2838 W Main St,Medford,Jackson,Federally Qualified Health Center (FQHC),Active,42.32445704,-122.90950589,2026-09-14
BPS-H80-000707,105600,MOSAIC COMMUNITY HEALTH,Prineville Health Center,"375 NW Beaver St, Suite 101",Prineville,Crook,Federally Qualified Health Center (FQHC),Active,44.30361352,-120.84911582,2026-09-14
