bhcmis_id,organization,site_name,city,county,type,latitude,longitude,total_patients,uninsured,medicaid,pct_uninsured,pct_medicaid
100700,WHITE BIRD CLINIC,White Bird Street Medicine,Eugene,Lane,Federally Qualified Health Center (FQHC),44.04418959,-123.08698875,4902.0,1202.0,3261.0,0.2452060383516932,0.6652386780905752
102970,ROGUE COMMUNITY HEALTH,Rogue Community Health Talent Health Center,Talent,Jackson,Federally Qualified Health Center (FQHC),42.24663371,-122.78773661,14401.0,767.0,8741.0,0.05326019026456496,0.6069717380737448
100760,"NORTHWEST HUMAN SERVICES, INC.",NORTHWEST HUMAN SERVICES-HOAP Homeless Outreach & Advocacy Project,Salem,Marion,Federally Qualified Health Center (FQHC),44.94556735,-123.03199055,12642.0,734.0,7888.0,0.05806043347571587,0.6239519063439329
107920,LANE COUNTY OREGON,Lane County Mental Health,Eugene,Lane,Federally Qualified Health Center (FQHC),44.06099753,-123.07303439,28346.0,6323.0,16750.0,0.2230649827136104,0.5909122980314683
107660,CENTRAL CITY CONCERN,Blackburn Center,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.52272249,-122.53831925,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
103100,"UMPQUA COMMUNITY HEALTH CENTER, INC.",UCHC Administrative Annex (NO services provided),Roseburg,Douglas,Federally Qualified Health Center (FQHC),43.26084475,-123.35131047,18139.0,922.0,9987.0,0.05082970395280886,0.5505816197144274
107920,LANE COUNTY OREGON,LANE COUNTY,Eugene,Lane,Federally Qualified Health Center (FQHC),44.0515616,-123.09011729,28346.0,6323.0,16750.0,0.2230649827136104,0.5909122980314683
10E00507,OREGON HEALTH & SCIENCE UNIVERSITY,"OHSU Health Family Medicine, East Portland",Portland,Multnomah,Federally Qualified Health Center (FQHC),45.51439368,-122.55934702,12932.0,235.0,5412.0,0.018171976492421898,0.4184967522424992
103100,"UMPQUA COMMUNITY HEALTH CENTER, INC.",Aviva Health - Reproductive & Women's Health Clinic,Roseburg,Douglas,Federally Qualified Health Center (FQHC),43.23824023,-123.3696841,18139.0,922.0,9987.0,0.05082970395280886,0.5505816197144274
102080,ONE COMMUNITY HEALTH,One Community Health - Hood River,Hood River,Hood River,Federally Qualified Health Center (FQHC),45.69615358,-121.51938091,24400.0,2165.0,10545.0,0.08872950819672132,0.432172131147541
105600,MOSAIC COMMUNITY HEALTH,Madras Health Center,Madras,Jefferson,Federally Qualified Health Center (FQHC),44.6380194,-121.11895149,28112.0,1349.0,14734.0,0.047986624928856005,0.5241178144564599
101310,COUNTY OF CLACKAMAS,Clackamas High School SBHC,Clackamas,Clackamas,Federally Qualified Health Center (FQHC),45.41833712,-122.53478209,17686.0,1210.0,13255.0,0.0684156960307588,0.7494628519733122
1010810,BENTON COUNTY,Sweet Home Health Center,Sweet Home,Linn,Federally Qualified Health Center (FQHC),44.3973372,-122.73169026,10514.0,1636.0,5784.0,0.15560205440365227,0.5501236446642572
105600,MOSAIC COMMUNITY HEALTH,Administrative Annex,Bend,Deschutes,Federally Qualified Health Center (FQHC),44.04528922,-121.32440376,28112.0,1349.0,14734.0,0.047986624928856005,0.5241178144564599
101310,COUNTY OF CLACKAMAS,Rex Putnam High School SBHC,Portland,Clackamas,Federally Qualified Health Center (FQHC),45.40027365,-122.60980884,17686.0,1210.0,13255.0,0.0684156960307588,0.7494628519733122
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School-Based Health Center at Jackson Elementary School,Medford,Jackson,Federally Qualified Health Center (FQHC),42.33167977,-122.88733324,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
103100,"UMPQUA COMMUNITY HEALTH CENTER, INC.",Sutherlin Clinic,Sutherlin,Douglas,Federally Qualified Health Center (FQHC),43.38122812,-123.32798489,18139.0,922.0,9987.0,0.05082970395280886,0.5505816197144274
107660,CENTRAL CITY CONCERN,Mobile Service Unit 01,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.5161012,-122.66242674,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,Phoenix Health Center--La Clinica,Medford,Jackson,Federally Qualified Health Center (FQHC),42.286893,-122.83218156,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
10E01418,CASCADIA HEALTH,Cascadia Woodland Park Health Center,Portland,Multnomah,Federally Qualified Health Center (FQHC) Look-Alike,45.53632414,-122.55590633,,,,,
107880,"THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",NARA Adult Mental Health and Housing Services,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.50468698,-122.65101646,5025.0,493.0,3097.0,0.09810945273631841,0.616318407960199
105600,MOSAIC COMMUNITY HEALTH,Lynch School-Based Health Center,Redmond,Deschutes,Federally Qualified Health Center (FQHC),44.26660256,-121.18234802,28112.0,1349.0,14734.0,0.047986624928856005,0.5241178144564599
10E00506,NEIGHBORHOOD HEALTH CENTER,NHC Hillsboro Reproductive Health Clinic,Hillsboro,Washington,Federally Qualified Health Center (FQHC),45.52245858,-122.99267289,19718.0,1522.0,14066.0,0.07718835581701998,0.713358352774115
101120,Multnomah County,Parkrose High School Student Health Center,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.55313048,-122.54015053,54930.0,3549.0,44369.0,0.06460950300382305,0.807737119970872
1014200,COUNTY OF LINCOLN,TOLEDO SCHOOL BASED HEALTH CENTER,Toledo,Lincoln,Federally Qualified Health Center (FQHC),44.6336,-123.92189998,3163.0,288.0,1476.0,0.09105279797660448,0.466645589630098
101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,Virginia Garcia/LifeWorks NW Beaverton,Beaverton,Washington,Federally Qualified Health Center (FQHC),45.48649247,-122.78662299,48320.0,5313.0,33973.0,0.10995447019867549,0.7030836092715231
101230,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,Virginia Garcia Memorial Health Center - Hillsboro 7th Avenue,Hillsboro,Washington,Federally Qualified Health Center (FQHC),45.52078132,-122.97875298,48320.0,5313.0,33973.0,0.10995447019867549,0.7030836092715231
102970,ROGUE COMMUNITY HEALTH,Rogue Behavioral Health,Medford,Jackson,Federally Qualified Health Center (FQHC),42.32763249,-122.86137867,14401.0,767.0,8741.0,0.05326019026456496,0.6069717380737448
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School Based Health Center at Central Point Elementary School,Central Point,Jackson,Federally Qualified Health Center (FQHC),42.37245714,-122.91155836,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
100150,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",Siskiyou Community Health Center,Grants Pass,Josephine,Federally Qualified Health Center (FQHC),42.43745901,-123.31749603,21248.0,1255.0,11291.0,0.05906438253012048,0.5313911897590361
107660,CENTRAL CITY CONCERN,Hooper Detoxification and Stabilization Center,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.53403395,-122.66698239,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
1010860,"WATERFALL CLINIC, INCORPORATED",Waterfall Dental Services,North Bend,Coos,Federally Qualified Health Center (FQHC),43.38841363,-124.23774602,5606.0,393.0,2443.0,0.07010346057795219,0.435783089546914
107660,CENTRAL CITY CONCERN,Hooper Detoxification and Stabilization Center,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.53435586,-122.66708431,11360.0,536.0,8679.0,0.047183098591549295,0.7639964788732394
106290,OUTSIDE IN,Outside In BH,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.51705842,-122.68510398,5847.0,922.0,3653.0,0.1576877030956046,0.6247648366683769
10E00506,NEIGHBORHOOD HEALTH CENTER,NHC Tanasbourne Medical & Dental Clinic,Hillsboro,Washington,Federally Qualified Health Center (FQHC),45.53389079,-122.86983777,19718.0,1522.0,14066.0,0.07718835581701998,0.713358352774115
101120,Multnomah County,Fernhill Health Center,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.56305264,-122.62022797,54930.0,3549.0,44369.0,0.06460950300382305,0.807737119970872
100150,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",CAREVAN,Grants Pass,Josephine,Federally Qualified Health Center (FQHC),42.459058,-123.32705903,21248.0,1255.0,11291.0,0.05906438253012048,0.5313911897590361
102970,ROGUE COMMUNITY HEALTH,Ashland Health Center,Ashland,Jackson,Federally Qualified Health Center (FQHC),42.20025266,-122.71497482,14401.0,767.0,8741.0,0.05326019026456496,0.6069717380737448
100150,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",GRANTS PASS HIGH SCHOOL - SCHOOL BASED HEALTH CENTER,Grants Pass,Josephine,Federally Qualified Health Center (FQHC),42.44524098,-123.31910896,21248.0,1255.0,11291.0,0.05906438253012048,0.5313911897590361
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School-Based Health Center at Scenic Middle School,Central Point,Jackson,Federally Qualified Health Center (FQHC),42.38637911,-122.92272289,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,Central Point Health Center--La Clinica,Central Point,Jackson,Federally Qualified Health Center (FQHC),42.38756477,-122.89141405,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
10E00506,NEIGHBORHOOD HEALTH CENTER,NHC Milwaukie Medical Clinic,Portland,Clackamas,Federally Qualified Health Center (FQHC),45.44874176,-122.62925603,19718.0,1522.0,14066.0,0.07718835581701998,0.713358352774115
100700,WHITE BIRD CLINIC,WHITE BIRD CLINIC,Eugene,Lane,Federally Qualified Health Center (FQHC),44.04681171,-123.08756643,4902.0,1202.0,3261.0,0.2452060383516932,0.6652386780905752
10E00467,ADAPT,Brookings-Harbor School District-Brookings-Harbor High School,Brookings,Curry,Federally Qualified Health Center (FQHC),42.05752737,-124.27996239,7895.0,100.0,4540.0,0.01266624445851805,0.5750474984167194
101310,COUNTY OF CLACKAMAS,Adrienne C. Nelson High School SBHC,Clackamas,Clackamas,Federally Qualified Health Center (FQHC),45.41549775,-122.49368663,17686.0,1210.0,13255.0,0.0684156960307588,0.7494628519733122
101120,Multnomah County,East County Health Center,Gresham,Multnomah,Federally Qualified Health Center (FQHC),45.50265307,-122.42499685,54930.0,3549.0,44369.0,0.06460950300382305,0.807737119970872
103100,"UMPQUA COMMUNITY HEALTH CENTER, INC.",Mobile Unit 24,Roseburg,Douglas,Federally Qualified Health Center (FQHC),43.26245915,-123.35030783,18139.0,922.0,9987.0,0.05082970395280886,0.5505816197144274
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,West Medford Health Center--La Clinica,Medford,Jackson,Federally Qualified Health Center (FQHC),42.32346228,-122.8868786,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,La Clinica School-Based Health Center at Jewett Elementary School,Central Point,Jackson,Federally Qualified Health Center (FQHC),42.37959404,-122.90897447,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
100790,LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,East Medford Dental Clinic--La Clinica,Medford,Jackson,Federally Qualified Health Center (FQHC),42.34582507,-122.87268066,23919.0,2060.0,15095.0,0.08612400183954179,0.6310882561980016
101310,COUNTY OF CLACKAMAS,Beavercreek Health Center,Oregon City,Clackamas,Federally Qualified Health Center (FQHC),45.33572558,-122.59907799,17686.0,1210.0,13255.0,0.0684156960307588,0.7494628519733122
101120,Multnomah County,David Douglas High School Student Health Center,Portland,Multnomah,Federally Qualified Health Center (FQHC),45.51573814,-122.52841562,54930.0,3549.0,44369.0,0.06460950300382305,0.807737119970872
